sent|ortho|SAMPA
shd218|PUEDE HABER un CICLÓN en CUATRO DÍAS|p u e d e a b e r u n T i k l o n e n k u a t r o d i a s
shd219|La MUJER SÓLO LLEVA AROS de ORO|l a m u x e r s o l o L e b a a r o s d e o r o
shd220|El CLAN VINO TODAS las NOCHES del MES|e l k l a n b i n o t o d a s l a s n o tS e s d e l m e s
shd221|DOS MÁS SIETE es MENOS que DIEZ|d o s m a s s i e t e e s m e n o s k e d i e T
shd222|ESTE LIBRO CABE en la PALMA de la MANO|e s t e l i b r o k a b e e n l a p a l m a d e l a m a n o
shd223|La YEGUA TIRÓ al JOVEN FUERA del CARRO|l a jj e g u a t i r o a l x o b e n f u e r a d e l k a rr o
shd224|HAY DIEZ BROCHES PUESTOS en ORDEN|a i d i e T b r o tS e s p u e s t o s e n o r d e n
shd225|LLEVÓ a sus DOS HIJOS a JUGAR al PARQUE|L e b o a s u s d o s i x o s a x u g a r a l p a r k e
shd226|La BLUSA ESTÁ LIMPIA pero le FALTA un BOTÓN|l a b l u s a e s t a l i m p i a p e r o l e f a l t a u n b o t o n
shd227|El FRUTO del NOGAL es de COLOR MARRÓN CLARO|e l f r u t o d e l n o g a l e s d e k o l o r m a rr o n k l a r o
shd228|NUNCA es FÁCIL DAR la RAZÓN a los DEMÁS|n u n k a e s f a T i l d a r l a rr a T o n a l o s d e m a s
shd229|Un TRAPO SECA el AGUA que HAY en la MESA|u n t r a p o s e k a e l a g u a k e a i e n l a m e s a
shd230|El POBRE CHICO PERDIÓ el TREN de NUEVO|e l p o b r e tS i k o p e r d i o e l t r e n d e n u e b o
shd231|TRAE al BEBÉ para que PUEDA DORMIR AQUÍ|t r a e a l b e b e p a r a k e p u e d a d o r m i r a k i
shd232|COJA la CARTA con el FONDO AZUL CLARO|k o x a l a k a r t a k o n e l f o n d o a T u l k l a r o
shd233|PONGA el CUBO LLENO DENTRO de la DUCHA|p o n g a e l k u b o L e n o d e n t r o d e l a d u tS a
shd234|Una TRUCHA con SAL y JAMÓN SABE BIEN|u n a t r u tS a k o n s a l i x a m o n s a b e b i e n
shd235|PUSO su NOMBRE en la HOJA ANTES de IRSE|p u s o s u n o m b r e e n l a o x a a n t e s d e i r s e
shd236|La MESA ESTÁ en el SUELO POCO FIRME|l a m e s a e s t a e n e l s u e l o p o k o f i r m e
shd237|Si HACES la TRENZA MAL, se VA a SOLTAR|s i a T e s l a t r e n T a m a l s e b a a s o l t a r
shd238|BUSCA en la CALLE una TORRE ALTA y GRIS|b u s k a e n l a k a L e u n a t o rr e a l t a i g r i s
shd239|Los SOCIOS LLEGAN por lo MENOS a la MITAD del GRUPO|l o s s o T i o s L e g a n p o r l o m e n o s a l a m i t a d d e l g r u p o
shd240|El NIÑO CASI HIRIÓ al PERRO GRANDE|e l n i J o k a s i i r i o a l p e rr o g r a n d e
shd241|TIENE una BARRA de HIERRO GRANDE y LARGA|t i e n e u n a b a rr a d e jj e rr o g r a n d e i l a r g a
shd242|El HOMBRE se LLEVÓ a los CHICOS en un COCHE VIEJO|e l o m b r e s e L e b o a l o s tS i k o s e n u n k o tS e b i e x o
shd243|El FINAL de ESE CUENTO era CORTO y CLARO|e l f i n a l d e e s e k u e n t o e r a k o r t o i k l a r o
shd244|SIENTE el AIRE TAN LIMPIO del CAMPO|s i e n t e e l a i r e t a n l i m p i o d e l k a m p o
shd245|Los NERVIOS se PASAN CUANDO se CIERRA la PUERTA|l o s n e r b i o s s e p a s a n k u a n d o s e T i e rr a l a p u e r t a
shd246|DEJA las BOTAS SUCIAS al LADO de la PUERTA|d e x a l a s b o t a s s u T i a s a l l a d o d e l a p u e r t a
shd247|El NIÑO TIENE una CARA MUY DULCE|e l n i J o t i e n e u n a k a r a m u i d u l T e
shd248|Es MEJOR que te PONGAS la CARGA en el OTRO HOMBRO|e s m e x o r k e t e p o n g a s l a k a r g a e n e l o t r o o m b r o
shd249|El SUELO FORMA BACHES a lo LARGO de la RUTA|e l s u e l o f o r m a b a tS e s a l o l a r g o d e l a rr u t a
shd250|HAY CUADROS en ESTA PARED de la CASA|a i k u a d r o s e n e s t a p a r e d d e l a k a s a
shd251|MANDÓ HIGOS DUROS y GUARDÓ las FRESAS|m a n d o i g o s d u r o s i g u a r d o l a s f r e s a s
shd252|QUITA ESE DARDO del CORCHO NEGRO|k i t a e s e d a r d o d e l k o r tS o n e g r o
shd253|Las HOJAS se PONEN de COLOR MARRÓN y se CAEN|l a s o x a s s e p o n e n d e k o l o r m a rr o n i s e k a e n
shd254|ESTE CARTEL es MÁS FÁCIL de VER|e s t e k a r t e l e s m a s f a T i l d e b e r
shd255|MOJA el PAÑO para que QUITE el FUERTE OLOR|m o x a e l p a J o p a r a k e k i t e e l f u e r t e o l o r
shd256|HAY que PONER TRAMPAS para CAZAR OSOS|a i k e p o n e r t r a m p a s p a r a k a T a r o s o s
shd257|Se USA una CLAVE para HABLAR con una RADIO VIEJA|s e u s a u n a k l a b e p a r a a b l a r k o n u n a rr a d i o b i e x a
shd258|El VIEJO PLATO NO TIENE BRILLO|e l b i e x o p l a t o n o t i e n e b r i L o
shd259|CORTAN el AGUA TRES VECES al DÍA|k o r t a n e l a g u a t r e s b e T e s a l d i a
shd260|La PUNTA de la PLUMA de BRONCE es MUY FINA|l a p u n t a d e l a p l u m a d e b r o n T e e s m u i f i n a
shd261|QUÉ FELIZ es el NIÑO cuando JUEGA en el PARQUE|k e f e l i T e s e l n i J o k u a n d o x u e g a e n e l p a r k e
shd262|Se USA CAÑA para la PESCA del SALMÓN de RÍO|s e u s a k a J a p a r a l a p e s k a d e l s a l m o n d e rr i o
shd263|SÓLO TIENE que IZAR la VELA y ZARPAR|s o l o t i e n e k e i T a r l a b e l a i T a r p a r
shd264|ESTAS CHICAS VENDEN BOLSOS FALSOS|e s t a s tS i k a s b e n d e n b o l s o s f a l s o s
shd265|MOVIÓ la GRAN PIEDRA DETRÁS de la VALLA|m o b i o l a g r a n p i e d r a d e t r a s d e l a b a L a
shd266|TOMÓ su CARGO en MARZO y lo DEJÓ AYER|t o m o s u k a r g o e n m a r T o i l o d e x o a jj e r
shd267|Se PUEDE MANDAR TODO JUNTO HOY|s e p u e d e m a n d a r t o d o x u n t o o i
shd268|Al HOMBRE le GUSTA la CARNE BIEN HECHA|a l o m b r e l e g u s t a l a k a r n e b i e n e tS a
shd269|El BROTE en el TALLO de la PLANTA CRECIÓ LENTO|e l b r o t e e n e l t a L o d e l a p l a n t a k r e T i o l e n t o
shd270|CUBRIÓ la MESA con una GRAN TELA ROSA|k u b r i o l a m e s a k o n u n a g r a n t e l a rr o s a
shd271|El HOMBRE VINO con una CAPA NEGRA y LARGA|e l o m b r e b i n o k o n u n a k a p a n e g r a i l a r g a
shd272|El PLATO de ARROZ y POLLO es GRATIS los LUNES|e l p l a t o d e a rr o T i p o L o e s g r a t i s l o s l u n e s
shd273|VAMOS a CANTAR TODOS JUNTOS una CANCIÓN|b a m o s a k a n t a r t o d o s x u n t o s u n a k a n T i o n
shd274|El PRIMER JUEVES es el MEJOR DÍA del MES|e l p r i m e r x u e b e s e s e l m e x o r d i a d e l m e s
shd275|La OBRA FUE MUY FLOJA hasta el FINAL|l a o b r a f u e m u i f l o x a a s t a e l f i n a l
shd276|La BOLSA de LANA TIENE un OLOR a MOHO|l a b o l s a d e l a n a t i e n e u n o l o r a m o o
shd277|Los PECES CAEN en las GRANDES REDES de los BARCOS|l o s p e T e s k a e n e n l a s g r a n d e s rr e d e s d e l o s b a r k o s
shd278|El CARGO se COBRÓ el DÍA DIEZ del MES|e l k a r g o s e k o b r o e l d i a d i e T d e l m e s
shd279|Una RUTA con TANTA CUESTA es MALA para los PIES|u n a rr u t a k o n t a n t a k u e s t a e s m a l a p a r a l o s p i e s
shd280|ENTRÓ AIRE FRESCO por el BORDE de la PUERTA|e n t r o a i r e f r e s k o p o r e l b o r d e d e l a p u e r t a
shd281|Los PERROS de PURA RAZA SON CAROS|l o s p e rr o s d e p u r a rr a T a s o n k a r o s
shd282|HIZO su PRIMER CUENTO en ESTE HOTEL|i T o s u p r i m e r k u e n t o e n e s t e o t e l
shd283|NADIE SABE NADA del ROBO de la PERLA|n a d i e s a b e n a d a d e l rr o b o d e l a p e r l a
shd284|El POMO de la PUERTA era de un METAL MUY FRÁGIL|e l p o m o d e l a p u e r t a e r a d e u n m e t a l m u i f r a x i l
shd285|TODOS los NIÑOS VAN a IR al CIRCO|t o d o s l o s n i J o s b a n a i r a l T i r k o
shd286|El CHICO JOVEN SALTÓ la VERJA GRANDE|e l tS i k o x o b e n s a l t o l a b e r x a g r a n d e
shd287|El PAJAR era POCO FIRME y TODO se CAYÓ|e l p a x a r e r a p o k o f i r m e i t o d o s e k a jj o
shd288|CUELGUE las CINTAS de AMBAS RAMAS del ÁRBOL|k u e l g e l a s T i n t a s d e a m b a s rr a m a s d e l a r b o l
shd289|Si TIRAS de la CUERDA, CAE TODO el GRANO|s i t i r a s d e l a k u e r d a k a e t o d o e l g r a n o
shd290|La SILLA de ROBLE no TIENE BUENA BASE|l a s i L a d e rr o b l e n o t i e n e b u e n a b a s e
shd291|Los RESTOS ROTOS MANCHAN el SUELO de PIEDRA|l o s rr e s t o s rr o t o s m a n tS a n e l s u e l o d e p i e d r a
shd292|ESTAS LETRAS MUESTRAN que GANÓ el JUEGO|e s t a s l e t r a s m u e s t r a n k e g a n o e l x u e g o
shd293|La OBRA me COSTÓ MUCHAS HORAS de SUDOR|l a o b r a m e k o s t o m u tS a s o r a s d e s u d o r
shd294|La CHICA HIZO la MEJOR MARCA de la PRUEBA|l a tS i k a i T o l a m e x o r m a r k a d e l a p r u e b a
shd295|La CHICA de PIEL BLANCA se TUMBÓ al SOL|l a tS i k a d e p i e l b l a n k a s e t u m b o a l s o l
shd296|El HOMBRE PUDO NADAR hasta LLEGAR a la PLAYA|e l o m b r e p u d o n a d a r a s t a L e g a r a l a p l a jj a
shd297|En el BARRIL HAY CUATRO TIPOS de VINO|e n e l b a rr i l a i k u a t r o t i p o s d e b i n o
shd298|La GENTE TIENE FRÍO DENTRO del CINE|l a x e n t e t i e n e f r i o d e n t r o d e l T i n e
shd299|El LODO ERA DENSO a lo LARGO de la CALLE|e l l o d o e r a d e n s o a l o l a r g o d e l a k a L e
shd300|SABE de lo que la JOVEN y GENIAL ACTRIZ es CAPAZ|s a b e d e l o k e l a x o b e n i x e n i a l a k t r i T e s k a p a T
shd301|El PERRO LADRÓ a los NIÑOS de CORTA EDAD|e l p e rr o l a d r o a l o s n i J o s d e k o r t a e d a d
shd302|El JOVEN VIENE en el NUEVO COCHE de su TÍO|e l x o b e n b i e n e e n e l n u e b o k o tS e d e s u t i o
shd303|SALTÓ la VALLA y ENTRÓ en el JARDÍN del PARQUE|s a l t o l a b a L a i e n t r o e n e l x a r d i n d e l p a r k e
shd304|MOJA el PASTEL SECO en la TAZA de CAFÉ|m o x a e l p a s t e l s e k o e n l a t a T a d e k a f e
shd305|ABRA el LIBRO de INGLÉS en la LECCIÓN DOS|a b r a e l l i b r o d e i n g l e s e n l a l e k T i o n d o s
shd306|CIERTAS FRUTAS MANCHAN las MANOS de VERDE|T i e r t a s f r u t a s m a n tS a n l a s m a n o s d e b e r d e
shd307|El HOMBRE LLEVA una PLUMA en su GORRO de CUERO|e l o m b r e L e b a u n a p l u m a e n s u g o rr o d e k u e r o
shd308|TRATE de PONER OTRO EURO en la HUCHA|t r a t e d e p o n e r o t r o e u r o e n l a u tS a
shd309|LIMPIÓ la FUNDA del SOFÁ con AGUA FRÍA|l i m p i o l a f u n d a d e l s o f a k o n a g u a f r i a
shd310|Un KILO de MIEL CUESTA MÁS que los HUEVOS|u n k i l o d e m i e l k u e s t a m a s k e l o s g u e b o s
shd311|ALLÍ, la MARCA del AGUA es de DOS METROS|a L i l a m a r k a d e l a g u a e s d e d o s m e t r o s
shd312|PONGA la CARTA DETRÁS de las DOS HOJAS|p o n g a l a k a r t a d e t r a s d e l a s d o s o x a s
shd313|La MUJER MIRA al RELOJ de PARED sin PARAR|l a m u x e r m i r a a l rr e l o x d e p a r e d s i n p a r a r
shd314|El PLAZO VENCIÓ el PRIMER DÍA de MAYO|e l p l a T o b e n T i o e l p r i m e r d i a d e m a jj o
shd315|El ZUMO de UVA y el AGUA se MEZCLAN BIEN|e l T u m o d e u b a i e l a g u a s e m e T k l a n b i e n
shd316|El CHICO JOVEN es el AUTOR del LIBRO NUEVO|e l tS i k o x o b e n e s e l a u t o r d e l l i b r o n u e b o
shd317|El CHICO se HIZO una CRESTA y la TIÑÓ de ROJO|e l tS i k o s e i T o u n a k r e s t a i l a t i J o d e rr o x o
shd318|Los NIÑOS CUENTAN a VECES CUENTOS FALSOS|l o s n i J o s k u e n t a n a b e T e s k u e n t o s f a l s o s
shd319|El BEBÉ se METE el PIE DENTRO de la BOCA|e l b e b e s e m e t e e l p i e d e n t r o d e l a b o k a
shd320|ESTA FRASE es la SEÑAL para que el ACTOR SALGA|e s t a f r a s e e s l a s e J a l p a r a k e e l a k t o r s a l g a
shd321|La CHICA era BUENA con TODA la GENTE de la TIENDA|l a tS i k a e r a b u e n a k o n t o d a l a x e n t e d e l a t i e n d a
shd322|Una RISA FALSA se OYÓ en el SALÓN de ACTOS|u n a rr i s a f a l s a s e o jj o e n e l s a l o n d e a k t o s
shd323|La YEGUA LLEGÓ en PRIMER LUGAR a la META|l a jj e g u a L e g o e n p r i m e r l u g a r a l a m e t a
shd324|COMPRÓ unas BOTAS por CINCO EUROS MENOS|k o m p r o u n a s b o t a s p o r T i n k o e u r o s m e n o s
shd325|La NIÑA HABLA FRANCÉS MUY BIEN|l a n i J a a b l a f r a n T e s m u i b i e n
shd326|El VIEJO RELOJ de la PARED MARCA las ONCE|e l b i e x o rr e l o x d e l a p a r e d m a r k a l a s o n T e
shd327|El HÁBIL RATÓN SALTA sobre el GATO que DUERME|e l a b i l rr a t o n s a l t a s o b r e e l g a t o k e d u e r m e
shd328|La LUZ del PORCHE se FUNDIÓ AYER NOCHE|l a l u T d e l p o r tS e s e f u n d i o a jj e r n o tS e
shd329|El AIRE FRÍO PASA a TRAVÉS de la CAPA|e l a i r e f r i o p a s a a t r a b e s d e l a k a p a
shd330|Lo MEJOR es COSER AMBOS BORDES RECTOS|l o m e x o r e s k o s e r a m b o s b o r d e s rr e k t o s
shd331|El JEFE es un HOMBRE SECO y POCO JOVIAL|e l x e f e e s u n o m b r e s e k o i p o k o x o b i a l
shd332|El CHICO SACÓ la PUNTA al LÁPIZ GRIS|e l tS i k o s a k o l a p u n t a a l l a p i T g r i s
shd333|COGIÓ DOS DADOS para un PRIMER TIRO|k o x i o d o s d a d o s p a r a u n p r i m e r t i r o
shd334|FRUNCE el CEÑO porque ESTÁ de MAL HUMOR|f r u n T e e l T e J o p o r k e e s t a d e m a l u m o r
shd335|La LABOR del SASTRE se VE en CADA PRENDA|l a l a b o r d e l s a s t r e s e b e e n k a d a p r e n d a
shd336|GRAN PARTE del CUENTO TIENE HUMOR|g r a n p a r t e d e l k u e n t o t i e n e u m o r
shd337|ENTRÉ en la TIENDA pero NO VI a NADIE|e n t r e e n l a t i e n d a p e r o n o b i a n a d i e
shd338|El JABÓN QUITA MUCHA MÁS GRASA|e l x a b o n k i t a m u tS a m a s g r a s a
shd339|La NUEVA ROPA no TIENE CUELLOS ALTOS|l a n u e b a rr o p a n o t i e n e k u e L o s a l t o s
shd340|HAY SÓLO un ÁRBOL de RAMAS LARGAS|a i s o l o u n a r b o l d e rr a m a s l a r g a s
shd341|AQUEL RAYO CAYÓ sobre el COCHE de su PADRE|a k e l rr a jj o k a jj o s o b r e e l k o tS e d e s u p a d r e
shd342|SECÓ las GOTAS de AGUA con HOJAS de PAPEL|s e k o l a s g o t a s d e a g u a k o n o x a s d e p a p e l
shd343|Le PIDIÓ al AMA de LLAVES un MANTEL LIMPIO|l e p i d i o a l a m a d e L a b e s u n m a n t e l l i m p i o
shd344|La JOVEN MADRE HIZO una CANCIÓN para su NIÑO|l a x o b e n m a d r e i T o u n a k a n T i o n p a r a s u n i J o
shd345|Para TENER FAMA HAY que TENER SUERTE|p a r a t e n e r f a m a a i k e t e n e r s u e r t e
shd346|La CERA VIRGEN CUIDA los MUEBLES de ROBLE|l a T e r a b i r x e n k u i d a l o s m u e b l e s d e rr o b l e
shd347|TODO el VAPOR SALIÓ por la TAPA ROTA|t o d o e l b a p o r s a l i o p o r l a t a p a rr o t a
shd348|Las HOJAS del ÁRBOL ERAN FRESCAS y CLARAS|l a s o x a s d e l a r b o l e r a n f r e s k a s i k l a r a s
shd349|Los ZUMOS de FRUTAS son MUY BUENOS para los BEBÉS|l o s T u m o s d e f r u t a s s o n m u i b u e n o s p a r a l o s b e b e s
shd350|PONGA OTRO TRONCO GRANDE en el FUEGO|p o n g a o t r o t r o n k o g r a n d e e n e l f u e g o
shd351|COGE una CARTA y PONLA DETRÁS de las DEMÁS|k o x e u n a k a r t a i p o n l a d e t r a s d e l a s d e m a s
shd352|BUSCA al LADRÓN que ROBÓ el COLLAR de PERLAS|b u s k a a l l a d r o n k e rr o b o e l k o L a r d e p e r l a s
shd353|Un RAYO de SOL CEGÓ al GATO NEGRO|u n rr a jj o d e s o l T e g o a l g a t o n e g r o
shd354|Se OYE la MISMA CANCIÓN en CADA SITIO|s e o jj e l a m i s m a k a n T i o n e n k a d a s i t i o
shd355|Se le CIERRAN los OJOS porque TIENE MUCHO SUEÑO|s e l e T i e rr a n l o s o x o s p o r k e t i e n e m u tS o s u e J o
shd356|TRATE de TRAZAR FINAS MARCAS de COLOR|t r a t e d e t r a T a r f i n a s m a r k a s d e k o l o r
shd357|CAE la NIEVE por TODOS los PUEBLOS del NORTE|k a e l a n i e b e p o r t o d o s l o s p u e b l o s d e l n o r t e
shd358|FUMA una PIPA GRANDE HECHA a MANO|f u m a u n a p i p a g r a n d e e tS a a m a n o
shd359|El MARTES que VIENE HAY que VOTAR de NUEVO|e l m a r t e s k e b i e n e a i k e b o t a r d e n u e b o
shd360|DURA el FUERTE OLOR de la VIEJA SIDRA|d u r a e l f u e r t e o l o r d e l a b i e x a s i d r a
shd361|El TUBO LLENA CASI TODA la ZANJA|e l t u b o L e n a k a s i t o d a l a T a n x a
shd362|El HILO UNIÓ los DOS BORDES con FUERZA|e l i l o u n i o l o s d o s b o r d e s k o n f u e r T a
shd363|La PLANTA BAJA ERA una SALA GRANDE|l a p l a n t a b a x a e r a u n a s a l a g r a n d e
shd364|TODOS los CARDOS se DOBLAN con el FUERTE VIENTO|t o d o s l o s k a r d o s s e d o b l a n k o n e l f u e r t e b i e n t o
shd365|GANA SIEMPRE para TENER MÁS PREMIOS|g a n a s i e m p r e p a r a t e n e r m a s p r e m i o s
shd366|El CIERVO se PILLÓ una PATA en una VIEJA TRAMPA|e l T i e r b o s e p i L o u n a p a t a e n u n a b i e x a t r a m p a
shd367|META la TELA DETRÁS del BORDE del COLCHÓN|m e t a l a t e l a d e t r a s d e l b o r d e d e l k o l tS o n
shd368|MUCHAS ALGAS CRECEN CERCA de las ROCAS|m u tS a s a l g a s k r e T e n T e r k a d e l a s rr o k a s
shd369|Un MUEBLE ANCHO CUBRIÓ el HUECO en la SALA|u n m u e b l e a n tS o k u b r i o e l g u e k o e n l a s a l a
shd370|El JUEGO es un POCO RARO y SIMPLE para los NIÑOS|e l x u e g o e s u n p o k o rr a r o i s i m p l e p a r a l o s n i J o s
shd371|El PREMIO FINAL se GANA con MUCHO VALOR|e l p r e m i o f i n a l s e g a n a k o n m u tS o b a l o r
shd372|Los VIENTOS del NORTE TRAEN las GRIPES y FIEBRES|l o s b i e n t o s d e l n o r t e t r a e n l a s g r i p e s i f i e b r e s
shd373|La HIERBA y las HOJAS se MOJAN con la DÉBIL LLUVIA|l a jj e r b a i l a s o x a s s e m o x a n k o n l a d e b i l L u b i a
shd374|Se QUEDÓ DENTRO de CASA sin SALIR para NADA|s e k e d o d e n t r o d e k a s a s i n s a l i r p a r a n a d a
shd375|Los NIÑOS SUELEN TENER MUCHO MIEDO|l o s n i J o s s u e l e n t e n e r m u tS o m i e d o
shd376|QUITA el FOCO que me HACE DAÑO en los OJOS|k i t a e l f o k o k e m e a T e d a J o e n l o s o x o s
shd377|AUNQUE su ROPA es CARA, es MUY FEA|a u n k e s u rr o p a e s k a r a e s m u i f e a
shd378|El PERRO GUIÓ al HOMBRE CIEGO en la CALLE|e l p e rr o g i o a l o m b r e T i e g o e n l a k a L e
shd379|UNA GRÚA es como un AVE con PATAS LARGAS|u n a g r u a e s k o m o u n a b e k o n p a t a s l a r g a s
shd380|SUMÓ el PRECIO al TOTAL de las TRES COSAS|s u m o e l p r e T i o a l t o t a l d e l a s t r e s k o s a s
shd381|HOY en DÍA el POLLO es un PLATO COMÚN|o i e n d i a e l p o L o e s u n p l a t o k o m u n
shd382|LEE el VERSO en VOZ ALTA y con GRACIA|l e e e l b e r s o e n b o T a l t a i k o n g r a T i a
shd383|PUSO el VASO DENTRO del HORNO en MARCHA|p u s o e l b a s o d e n t r o d e l o r n o e n m a r tS a
shd384|El TREN TRAJO al JOVEN a la GRAN CIUDAD|e l t r e n t r a x o a l x o b e n a l a g r a n T i u d a d
shd385|La VIEJA CASA de TRES PISOS es de PIEDRA|l a b i e x a k a s a d e t r e s p i s o s e s d e p i e d r a
shd386|Cuando LLEGA el TIEMPO FRÍO se COME PAVO|k u a n d o L e g a e l t i e m p o f r i o s e k o m e p a b o
shd387|HAY NUEVE CHICAS de PIE en FILA|a i n u e b e tS i k a s d e p i e e n f i l a
shd388|El OLOR de las ROSAS GUSTA MUCHO a la GENTE|e l o l o r d e l a s rr o s a s g u s t a m u tS o a l a x e n t e
shd389|CUALQUIER COSA PUEDE CREAR ANSIA|k u a l k i e r k o s a p u e d e k r e a r a n s i a
shd390|Las NUBES se MUEVEN de FORMA LENTA y RARA|l a s n u b e s s e m u e b e n d e f o r m a l e n t a i rr a r a
shd391|DEJE su VASO DENTRO de la BOLSA NEGRA|d e x e s u b a s o d e n t r o d e l a b o l s a n e g r a
shd392|HAY una CONCHA de COLOR ROSA en la PLAYA|a i u n a k o n tS a d e k o l o r rr o s a e n l a p l a jj a
shd393|PINTA las PUERTAS de ROJO y la PARED GRIS|p i n t a l a s p u e r t a s d e rr o x o i l a p a r e d g r i s
shd394|Un REY MANDÓ en la NACIÓN VEINTE AÑOS|u n rr e i m a n d o e n l a n a T i o n b e i n t e a J o s
shd395|La MUJER TIENE MEJOR VISTA que TACTO|l a m u x e r t i e n e m e x o r b i s t a k e t a k t o
shd396|Una FORMA de ser RICO es NO GASTAR MUCHO|u n a f o r m a d e s e r rr i k o e s n o g a s t a r m u tS o
shd397|SUMAR de PRISA CAUSÓ un ERROR en la CUENTA|s u m a r d e p r i s a k a u s o u n e rr o r e n l a k u e n t a
shd398|OYÓ un COCHE LLEGAR a la PUERTA de CASA|o jj o u n k o tS e L e g a r a l a p u e r t a d e k a s a
shd399|Los TACOS se HUNDEN FÁCIL en el CÉSPED BLANDO|l o s t a k o s s e u n d e n f a T i l e n e l T e s p e d b l a n d o
shd400|Un BUEN LIBRO DICE lo que HAY que SABER|u n b u e n l i b r o d i T e l o k e a i k e s a b e r
shd401|Los HOMBRES VAN MÁS ALLÁ del VALLE|l o s o m b r e s b a n m a s a L a d e l b a L e
shd402|COMPRÓ una FUNDA de SOFÁ de COLOR AZUL|k o m p r o u n a f u n d a d e s o f a d e k o l o r a T u l
shd403|Se PASÓ CASI TODA la TARDE en la TIENDA|s e p a s o k a s i t o d a l a t a r d e e n l a t i e n d a
shd404|HAGA el FAVOR de COGER ESE MÓVIL|a g a e l f a b o r d e k o x e r e s e m o b i l
shd405|El VINO TINTO se HACE con UVA NEGRA|e l b i n o t i n t o s e a T e k o n u b a n e g r a
shd406|El TRONCO GRUESO CAYÓ DESPUÉS del CORTE|e l t r o n k o g r u e s o k a jj o d e s p u e s d e l k o r t e
shd407|PONGA la SILLA VIEJA en ESE RINCÓN|p o n g a l a s i L a b i e x a e n e s e rr i n k o n
shd408|DEJA de SILBAR y MIRA el JUEGO de los CHICOS|d e x a d e s i l b a r i m i r a e l x u e g o d e l o s tS i k o s
shd409|El TÉ de JAZMÍN TIENE un SABOR DULCE|e l t e d e x a T m i n t i e n e u n s a b o r d u l T e
shd410|PLANTA un ROSAL CERCA de la PUERTA del PORCHE|p l a n t a u n rr o s a l T e r k a d e l a p u e r t a d e l p o r tS e
shd411|ABRA la CAJA pero NO ROMPA el CRISTAL|a b r a l a k a x a p e r o n o rr o m p a e l k r i s t a l
shd412|Las FRASES DULCES LOGRAN MÁS que las DURAS|l a s f r a s e s d u l T e s l o g r a n m a s k e l a s d u r a s
shd413|El CUADRO TIENE una RAYA NEGRA en MEDIO|e l k u a d r o t i e n e u n a rr a jj a n e g r a e n m e d i o
shd414|Sin DUDA, el VIENTO SOPLA HOY del NORTE|s i n d u d a e l b i e n t o s o p l a o i d e l n o r t e
shd415|La RAYA donde los BORDES se UNEN ESTÁ LIMPIA|l a rr a jj a d o n d e l o s b o r d e s s e u n e n e s t a l i m p i a
shd416|CORTÓ el TRONCO con un GOLPE SECO y FUERTE|k o r t o e l t r o n k o k o n u n g o l p e s e k o i f u e r t e
shd417|Le DIO como PRUEBA una VIEJA FOTO de su TÍA|l e d i o k o m o p r u e b a u n a b i e x a f o t o d e s u t i a
shd418|Un MAL PASO en el BAÑO es un GRAN RIESGO|u n m a l p a s o e n e l b a J o e s u n g r a n rr i e s g o
shd419|El BROCHE de PLATA TIENE DIEZ AÑOS|e l b r o tS e d e p l a t a t i e n e d i e T a J o s
shd420|Las LUCES del COCHE BRILLAN en el MURO de la CASA|l a s l u T e s d e l k o tS e b r i L a n e n e l m u r o d e l a k a s a
shd421|Es MEJOR PENSAR un POCO ANTES de HABLAR|e s m e x o r p e n s a r u n p o k o a n t e s d e a b l a r
shd422|SIENTE el CALOR de ESA DÉBIL LLAMA|s i e n t e e l k a l o r d e e s a d e b i l L a m a
shd423|El PASTOR DABA PIENSO a sus CERDOS para la CRÍA|e l p a s t o r d a b a p i e n s o a s u s T e r d o s p a r a l a k r i a
shd424|COGE la SIERRA por el MANGO para HACER FUERZA|k o x e l a s i e rr a p o r e l m a n g o p a r a a T e r f u e r T a
shd425|El CHICO le DIO CINCO EUROS a un POBRE|e l tS i k o l e d i o T i n k o e u r o s a u n p o b r e
shd426|Las MOSCAS ZUMBAN con el SOL y el CALOR de JUNIO|l a s m o s k a s T u m b a n k o n e l s o l i e l k a l o r d e x u n i o
shd427|DALE la MANO a ESTE NIÑO RUBIO|d a l e l a m a n o a e s t e n i J o rr u b i o
shd428|El GRUPO de GENTE se SUMÓ a la FUERTE LUCHA|e l g r u p o d e x e n t e s e s u m o a l a f u e r t e l u tS a
shd429|VIERTA el GUISO de la OLLA al PLATO GRANDE|b i e r t a e l g i s o d e l a o L a a l p l a t o g r a n d e
shd430|SALTA la VALLA y VETE HACIA el BANCO|s a l t a l a b a L a i b e t e a T i a e l b a n k o
shd431|La SILLA del NIÑO CAYÓ del COCHE en MARCHA|l a s i L a d e l n i J o k a jj o d e l k o tS e e n m a r tS a
shd432|DETRÁS de la TAPIA BAJA se VE el LAGO|d e t r a s d e l a t a p i a b a x a s e b e e l l a g o
shd433|Las NUBES ALTAS FLOTAN con la SUAVE BRISA|l a s n u b e s a l t a s f l o t a n k o n l a s u a b e b r i s a
shd434|El TÉ de la JARRA MARRÓN ESTÁ RICO|e l t e d e l a x a rr a m a rr o n e s t a rr i k o
shd435|Una GRIETA en la PARED PUEDE CAUSAR un FUEGO|u n a g r i e t a e n l a p a r e d p u e d e k a u s a r u n f u e g o
